ReporterISO3,PartnerISO3,Year,Value chains,Temperature,value_usd,quantity_mt
LTU,EGY,2022,Potatoes,Fresh,41982,82.5
LKA,EGY,2014,Potatoes,Frozen,95270,82.5
AUS,EGY,2006,Potatoes,Dehydrated,118648,82.278
UKR,EGY,2015,Potatoes,Fresh,74333,82.158
EST,MAR,2022,Potatoes,Fresh,53904,82.1222
SVK,EGY,2012,Potatoes,Dehydrated,212755,82.116
LVA,EGY,2022,Potatoes,Fresh,41221,82.1
SAU,EGY,2014,Potatoes,Fresh,48020,82
CAN,MAR,2004,Potatoes,Dehydrated,370651,81.808
VNM,EGY,2022,Potatoes,Frozen,101970,81.728696
SEN,MAR,2022,Potatoes,Fresh,17657,81.72
GBR,EGY,2014,Potatoes,Dehydrated,312747,81.652
RWA,KEN,2019,Potatoes,Fresh,23158,81.603
UGA,KEN,2013,Potatoes,Dehydrated,361645,86.282
CZE,MAR,2017,Potatoes,Fresh,42737,81.173
BEL,EGY,2011,Potatoes,Fresh,52255,81
DNK,EGY,2020,Potatoes,Fresh,51441,81
FIN,MAR,2016,Potatoes,Fresh,55339,80.91
